,Model,No_terms,LOO
0,--Xpvc--,1.0,-0.16312747694152832
1,--Xpvc--Xldh--,2.0,-0.15347134879374422
2,--Xdinp--Xldh--Xdinp*Xldh--,3.0,-0.09361479038275218
3,--Xpvc--Xdinp--Xldh--Xdinp*Xldh--,4.0,-0.08795095939025065
4,--Xdinp--Xldh--Xsph--Xdinp*Xldh--Xdinp*Xsph--,5.0,-0.08723401208749268
5,--Xpvc--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,6.0,-0.0786498315485775
6,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,7.0,-0.07552840482759772
7,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xfiller*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,8.0,-0.07681364948057444
8,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,9.0,-0.07517136136742039
9,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xfiller*Xstabiliser--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,10.0,-0.07572174767258362
10,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xfiller*Xstabiliser--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,11.0,-0.07742355321194767
11,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,12.0,-0.08159175557410746
12,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xfiller*Xstabiliser--Xfiller*Xsph--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--,13.0,-0.08427062467089731
13,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xfiller*Xstabiliser--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--,14.0,-0.08923386006344161
14,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--,15.0,-0.09012037887186687
15,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--,16.0,-0.09546545938050126
16,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xstabiliser--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xsph--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--,17.0,-0.10175789240436348
17,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xldh--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,18.0,-0.11192349124977112
18,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--Xldh*Xsph--,19.0,-0.11697709377666306
19,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--Xldh*Xsph--,20.0,-0.12241990517192523
20,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xdinp--Xfr*Xsph--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--Xldh*Xsph--,21.0,-0.13016594101608073
21,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--Xldh*Xsph--,22.0,-0.13524845166944113
22,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--Xldh*Xsph--,23.0,-0.14814139623745
23,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--Xldh*Xsph--,24.0,-0.1640120282824566
24,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,25.0,-0.1858045921297463
25,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xdinp--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,26.0,-0.21184587806214394
26,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,27.0,-0.24773999598172922
27,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xdinp--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xdinp--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,28.0,-0.3092272299492517
