,Model,No_terms,k3
0,--Xpvc--,1.0,-0.1627031451898073
1,--Xpvc--Xdinp--,2.0,-0.1440353719926961
2,--Xdinp--Xldh--Xdinp*Xldh--,3.0,-0.10156551543976935
3,--Xpvc--Xdinp--Xldh--Xdinp*Xldh--,4.0,-0.09883707900827461
4,--Xdinp--Xldh--Xsph--Xdinp*Xldh--Xdinp*Xsph--,5.0,-0.09391266153713386
5,--Xpvc--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,6.0,-0.08798537425277243
6,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,7.0,-0.08690377044047357
7,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--,8.0,-0.08675359042439543
8,--Xpvc--Xfr--Xstabiliser--Xdinp--Xldh--Xpvc*Xstabiliser--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,9.0,-0.08452595487734087
9,--Xpvc--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xstabiliser--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,10.0,-0.08774257965107696
10,--Xpvc--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xstabiliser--Xfr*Xstabiliser--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--,11.0,-0.0911362671798252
11,--Xpvc--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xdinp--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,12.0,-0.09858746893066703
12,--Xpvc--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xstabiliser--Xpvc*Xdinp--Xfr*Xstabiliser--Xfr*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--,13.0,-0.10704776643142913
13,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xldh--Xfiller*Xldh--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,14.0,-0.11217273876007111
14,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xldh--Xfiller*Xldh--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,15.0,-0.11536048028537674
