,Model,No_terms,LOO
0,--Xpvc--,1.0,-0.2154849452671423
1,--Xpvc--Xfiller--,2.0,-0.18871549977815177
2,--Xdinp--Xldh--Xdinp*Xldh--,3.0,-0.11659373863402002
3,--Xfiller--Xdinp--Xldh--Xdinp*Xldh--,4.0,-0.10703310448093935
4,--Xfiller--Xstabiliser--Xdinp--Xldh--Xdinp*Xldh--,5.0,-0.1085899084942076
5,--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,6.0,-0.10025536349933063
6,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,7.0,-0.08552954112002745
7,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,8.0,-0.08546158320152321
8,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,9.0,-0.08665817649288834
9,--Xpvc--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,10.0,-0.08796997123205058
10,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xpvc*Xfr--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,11.0,-0.09052770080247156
11,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xsph--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,12.0,-0.09190063165260788
12,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xsph--Xfiller*Xldh--Xfr*Xstabiliser--Xstabiliser*Xldh--Xdinp*Xldh--,13.0,-0.0935733525843371
