,Model,No_terms,k20
0,--Xpvc--,1.0,-0.2111238656462514
1,--Xpvc--Xfiller--,2.0,-0.18583024711740606
2,--Xdinp--Xldh--Xdinp*Xldh--,3.0,-0.11343727150642852
3,--Xfiller--Xdinp--Xldh--Xdinp*Xldh--,4.0,-0.10467899007232613
4,--Xfiller--Xstabiliser--Xdinp--Xldh--Xdinp*Xldh--,5.0,-0.10592304466296001
5,--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,6.0,-0.09786070746340281
6,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,7.0,-0.08403206960268453
7,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--,8.0,-0.08355528250008783
8,--Xpvc--Xfiller--Xstabiliser--Xdinp--Xldh--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,9.0,-0.08534040817159876
9,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xpvc*Xfr--Xpvc*Xdinp--Xstabiliser*Xldh--Xdinp*Xldh--,10.0,-0.08617391080926916
10,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xpvc*Xfr--Xpvc*Xdinp--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,11.0,-0.08896636234903879
11,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xsph--Xfiller*Xldh--Xstabiliser*Xldh--Xdinp*Xldh--,12.0,-0.09198322565586414
12,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xstabiliser--Xfiller*Xldh--Xfr*Xsph--Xstabiliser*Xldh--Xldh*Xsph--,13.0,-0.09346305891736678
13,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xldh--Xfr*Xstabiliser--Xfr*Xldh--Xstabiliser*Xldh--Xldh*Xsph--,14.0,-0.09839457678337434
14,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xsph--Xstabiliser*Xldh--Xldh*Xsph--,15.0,-0.10264631004492238
15,--Xpvc--Xfiller--Xfr--Xstabiliser--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xsph--Xstabiliser*Xldh--Xldh*Xsph--,16.0,-0.10813932967028242
16,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xsph--Xldh*Xsph--,17.0,-0.11486683598842756
17,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xldh--Xfiller*Xsph--Xstabiliser*Xldh--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,18.0,-0.12331754865800933
18,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xsph--Xdinp*Xldh--Xldh*Xsph--,19.0,-0.1355711669429394
19,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xsph--Xdinp*Xldh--Xldh*Xsph--,20.0,-0.1454504364800041
20,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xsph--Xdinp*Xldh--Xldh*Xsph--,21.0,-0.16262214666298358
21,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,22.0,-0.17859507782966536
22,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfiller--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xdinp*Xsph--Xldh*Xsph--,23.0,-0.21183998294603212
23,--Xpvc--Xfiller--Xfr--Xstabiliser--Xdinp--Xldh--Xsph--Xpvc*Xfr--Xpvc*Xstabiliser--Xpvc*Xldh--Xpvc*Xsph--Xfiller*Xfr--Xfiller*Xstabiliser--Xfiller*Xldh--Xfiller*Xsph--Xfr*Xstabiliser--Xfr*Xdinp--Xfr*Xldh--Xfr*Xsph--Xstabiliser*Xdinp--Xstabiliser*Xldh--Xstabiliser*Xsph--Xdinp*Xldh--Xldh*Xsph--,24.0,-0.24447925781206747
